crank_angle [degree],force [kN]
-0.570621,-2.012326
15.768046,-1.595861
34.544827,-1.365927
51.431137,-1.182637
68.188551,-1.204212
87.101887,-1.020913
104.527875,-0.809306
120.872984,-0.604367
139.924246,-0.512673
156.677399,-0.394341
173.557215,0.00214
192.464921,0.370316
209.346919,0.695178
226.090992,1.111646
244.595321,1.413198
261.887695,1.574837
278.912488,1.6482
297.704183,1.38846
314.605203,1.088737
331.368349,0.878955
350.292845,0.695831
367.055839,0.491044
386.113492,0.372878
403.005533,0.367959
419.900923,0.253114
438.686784,0.184913
455.442879,0.206643
472.470614,0.183404
491.525375,0.160174
508.148313,0.116946
525.18665,-0.254394
544.253434,-0.672362
560.621675,-1.226917
577.93155,-1.639896
596.452872,-1.896306
613.759501,-2.202689
630.659151,-2.457441
649.570865,-2.220844
666.186194,-2.014238
683.213269,-2.015825
701.726729,-2.014074
718.618619,-2.013995
